Participant,SFreq,SRegVT,SRegML,SRegAP,SRegRV,StrRegVT,StrRegML,StrRegAP,StrRegRV,SymVT,SymML,SymAP,SymRV,corrSAG,corrFRO,corrHOR,rmsSAG,rmsFRO,rmsHOR,rmsVTRV,rmsMLRV,rmsAPRV,SPARCVT,SPARCML,SPARCAP,SPARCRV
11,109.244055635641,0.228106764604369,0.434687256163484,-0.153092032909705,0.125707165532561,0.968059954958049,0.947479229501841,0.975845226377583,0.973548866685321,123.887020475079,74.3696846326324,275.856758322481,154.533447775681,-0.1638460524262,-0.194072810742994,-0.646399467236905,14.0703505007353,13.3877130749415,6.02472105613724,0.908006790731045,0.205970381278839,0.364562308217967,-3.78122831598925,-9.69654915607512,-13.592180778033,-3.58916854197598
12,119.964390450843,0.196942633130643,0.386938971834615,-0.196279207046921,0.206209469291366,0.933790838750877,0.825423245840405,0.956983225142719,0.952149917813796,130.885357860772,72.8118963037249,304.774813813718,128.996042150723,-0.12918261575966,-0.339609465498339,0.0116294163848203,14.9621048014518,13.4807372895569,7.34890566464752,0.874590809423324,0.160831960701716,0.457183237932905,-3.47554268526029,-11.4512843839308,-11.0400746999954,-3.61860431261887
13,110.121287275684,0.197315595843316,0.516684345295965,-0.112520919755034,0.0503138389455159,0.810119773933837,0.760895454163046,0.833391511322525,0.823399940271888,12.2261142547048,55.4969470258985,239.29492263906,191.925400905272,-0.013568635215991,-0.223435923988125,-0.457232517611737,14.6372344061149,12.1142354260636,8.39682977286573,0.795908787067294,0.180980359375231,0.526824349840859,-4.81153550246074,-8.70944962138151,-8.72090178327967,-3.71506311107911
14,107.300401780504,0.225414504837454,0.292194638287805,-0.0818170104909265,0.0411207406322972,0.925844565632647,0.825412516819668,0.953074869607647,0.941779225784021,121.842981459644,94.5896435445721,238.942999924526,183.32340246581,0.0125716504215058,-0.0363745223011836,0.403530091727274,14.4686514910439,13.4645351001893,6.39762401225926,0.900163754540025,0.172717360088032,0.399596068371982,-3.62853874503725,-11.2468196486561,-12.4247734287604,-3.49961444088461
15,109.887623428537,0.107690476130197,0.260016962556865,0.121525745011711,0.110363886953476,0.886747222431029,0.824273835918034,0.894083675739393,0.909934026754613,148.196146751427,402.608813293012,153.11622944756,155.635825489803,-0.0942451838541088,-0.0149915648289889,-0.389774326664214,14.5923485344491,13.4316025161382,6.63260464079486,0.893808686594801,0.162063211325329,0.417888252289253,-3.6955004444964,-11.2146667081521,-14.6912641439992,-3.512592410841
16,118.901438126271,0.278459193915915,0.330653448497229,-0.309987574311214,0.176130920979865,0.970932917350129,0.901719697363715,0.994001375204493,0.98341149128133,111.05543892374,94.0259253210383,382.467477565877,139.352217054357,-0.193343117260678,-0.26664792740912,0.129512536828196,15.6392398631669,14.0846959929802,7.93266078063638,0.866741544615205,0.181775430120389,0.464348222891599,-3.513703429094,-6.26576337167598,-11.1621848232749,-3.55500449747312
17,120.72804506418,0.373375048648033,0.0904086951241977,-0.129764988348134,0.0901988008992667,0.938120852172488,0.922919968356068,0.963475145301661,0.949624284847566,86.3935022567369,164.855672447799,263.566858083281,165.543051536433,-0.0421622169070058,-0.47836727185669,-0.0129182234194586,14.3544144645384,13.3146349559394,8.28860894788459,0.834274017547196,0.297228727679501,0.463933714979108,-3.52725499510604,-5.45960198992034,-11.4417623961854,-3.68440351653547
18,128.31480617847,0.117511653642925,0.378165438626442,-0.0274163069966548,0.17466159711653,0.342467005763397,0.442906045816021,0.607769587951449,0.616792274203037,117.081501774929,108.079750111043,199.388798768894,121.254573825578,-0.069210583991504,-0.179664901391235,-0.437954896873784,13.7090158952691,12.7417081206041,5.93580720577035,0.903991534383199,0.158270492810809,0.396936652100287,-3.50693452080227,-5.60642138303557,-13.525787435532,-3.43896703503198
19,117.748868778281,0.254866622612941,0.29957477433882,-0.274638493753579,0.0883071075991449,0.956111695849282,0.906466376194069,0.973253962837589,0.968439876357118,116.044429366105,100.887939874426,359.582909238334,166.745824999603,-0.0470718642218418,-0.170211339264054,-0.364464901406965,14.7400321347219,13.4156388584724,7.42480130092129,0.86962608795149,0.198569181661096,0.451788182128465,-3.82851455701607,-8.90703369439171,-11.6799341987207,-3.66094289101776
20,109.93818171943,0.203377107001514,0.20001598474007,-0.218524627605055,0.045519211709389,0.897172187869308,0.788978661247584,0.945716387627975,0.925121099683065,126.313259625221,121.859110489105,325.237665826294,181.855972142483,-0.113361246053658,-0.110901387496347,0.0354030300783102,13.8057610060961,13.0687396496182,6.03998699587416,0.90363876937988,0.204818967476507,0.375777946018105,-3.53860041120935,-4.89063648053427,-11.1595931280483,-3.37661234923809
