Participant,SFreq,SRegVT,SRegML,SRegAP,SRegRV,StrRegVT,StrRegML,StrRegAP,StrRegRV,SymVT,SymML,SymAP,SymRV,corrSAG,corrFRO,corrHOR,rmsSAG,rmsFRO,rmsHOR,rmsVTRV,rmsMLRV,rmsAPRV,SPARCVT,SPARCML,SPARCAP,SPARCRV
16,115.846861240868,0.194911012834196,0.243913374021151,-0.226902769472003,0.13056357901895,0.964979151593595,0.927017708023652,0.983630261729138,0.975679037862001,132.906875584213,117.041419581574,321.187418931923,152.820164067698,-0.161168842066605,-0.148343926269758,0.0170180527642617,14.6306493036695,13.4394578690419,6.83162276347117,0.888012889592078,0.173271565065161,0.425714183735427,-3.50201178585142,-5.93662067142725,-11.3340517722125,-3.49879223454789
17,117.044164421783,0.272945741004289,0.25396004554785,-0.117209783430902,0.012019535085371,0.950499772673841,0.917038473062161,0.971300260046042,0.956213714103235,111.004148402822,113.810108105371,255.47372322412,195.532254439638,-0.107552153328859,-0.393830185801937,-0.108977416886195,13.6426769009915,12.8533676185372,7.21481381849232,0.86137669404945,0.277859140241849,0.425096414538583,-3.53643475022863,-4.96573637054264,-12.334280700641,-3.65395481551809
18,132.525629077353,0.118458921520106,0.414895455931724,-0.00990802976808016,0.164647667960534,0.155880774505659,0.124701589914186,0.181263193733182,0.154158984810474,76.3621119038728,154.609745085429,241.128502256008,109.51360419218,0.0209273083184537,0.0183895153816852,-0.535474794203438,13.0823093081004,12.3250490735684,5.19351362937501,0.91971489833959,0.148670249639462,0.363227786958762,-3.57230613266711,-5.37297374607591,-14.9678366426498,-3.35270030323424
19,115.982241953385,0.209247731862606,0.401745895849127,-0.249118202453753,0.0591023118926258,0.971412923186961,0.944251083674,0.991391218926047,0.978059186426871,129.201442516563,80.7410488400141,334.740532583947,177.266584523782,-0.0262954661224913,-0.0929781537027041,-0.447642301393202,14.0879000920866,13.0501425265615,6.7290133721283,0.883903815289727,0.203342019047361,0.421043789330164,-3.89398361088608,-7.6987984957859,-11.4677922887,-3.63705466927435
20,108.536827809274,0.195883870107992,0.351241170429114,-0.157528421503391,0.046140765841431,0.924769246169359,0.835786982956903,0.954934364039414,0.93741090977624,129.927139098894,81.4032139977135,280.634053891482,181.008643209898,-0.082268229282682,-0.0660754283751037,0.0489788304695293,13.0147993883275,12.4859767016834,5.28391495635831,0.917567188008407,0.202270654323025,0.341956555648596,-3.44823478258838,-4.76817335027558,-11.8082548530481,-3.35164649328338
21,102.047131014469,0.209339989621094,0.278323978027532,0.0746551294942236,0.0747943186583268,0.966489105644554,0.899277043002208,0.970058713080708,0.974020147101016,128.824626532959,105.499043671665,171.384725766389,171.464176691011,-0.225380763356914,-0.0824759538517638,-0.430888323981478,13.7894531840719,12.6772967015888,6.22674103123256,0.894983347954757,0.154889499194661,0.418214126539763,-3.89028617898896,-5.50629259555155,-16.6179690258071,-3.99408940615638
22,112.348922504305,0.0562695746409154,0.369961752851151,-0.12280486766202,0.0261515089978775,0.976720000206333,0.964396571304666,0.99330693767169,0.983953744520721,178.288916493474,89.2655642783007,256.590981100913,189.855973233377,-0.126985423665546,-0.0643557365122254,-0.765606057982504,15.0978523696981,13.7447725078571,7.15737270954874,0.883814336780831,0.161482827069638,0.438991968714999,-3.38534237918735,-11.1704227242685,-11.6596972203574,-3.47573421592688
23,120.100669638485,0.0797204100214435,0.318210246318304,-0.426230521650344,0.0814186132680848,0.9723331705239,0.898294241062172,1.00335773896385,0.98638489982106,169.916906356737,95.919699836771,497.458557883048,169.788800658118,-0.246740953659254,-0.592903931394279,0.260882998503615,16.1031143706688,14.5887949721827,8.64780106608357,0.852367200461938,0.227517690189724,0.470804109233497,-3.51056510217761,-4.34580262293227,-9.3841840824499,-3.53659414619878
24,106.597511380687,0.00712477430988463,0.285239765254571,0.0346145538290585,-0.0658828262031765,0.928638865800812,0.825306081882778,0.930116311478092,0.937036465426734,199.567438223308,118.574654564428,173.31773209498,228.930764619055,-0.188066693562651,0.250183517324385,-0.556142207645581,14.072271816818,12.9652553415029,6.373357627128,0.89462264139844,0.162449044701809,0.415859378010596,-3.32400937152433,-6.45020731700568,-15.0580769417544,-3.39093277851221
25,111.61731152465,0.116241251311584,0.29615655312334,-0.152108603439002,0.175850731340778,0.259834404591231,0.523315050332846,0.397800080417305,0.556575986272166,73.1367444280849,81.5092789047657,119.066386330443,89.4094284176781,-0.0854752369076655,-0.325649059011735,-0.173095091218657,13.1420456588403,12.4320719405416,6.17362261901588,0.889599276438993,0.233746267046655,0.392294056644937,-3.38338294498181,-4.13870120370417,-11.9055765995108,-3.35721440627662
